ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,source_file,stock_name,short_ma,long_ma,target_position,trade_signal,position,market_return,turnover,transaction_cost,strategy_return,strategy_equity,benchmark_equity,running_peak,drawdown,short_window,long_window
688017.SH,2025-06-30,124.8,126.37,123.58,124.89,124.1,0.79,0.6366,27684.42,346153.401,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,0.0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,0.0,10,30
688017.SH,2025-07-01,124.28,124.97,122.22,123.14,124.89,-1.75,-1.4012,22443.51,276694.229,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,0.0,0,0.0,-0.014012330851149057,0.0,0.0,-0.0,100000.0,98598.7669148851,100000.0,0.0,10,30
688017.SH,2025-07-02,122.2,123.13,119.0,120.05,123.14,-3.09,-2.5093,25425.54,305891.013,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,0.0,0,0.0,-0.025093389637810604,0.0,0.0,-0.0,100000.0,96124.58963888221,100000.0,0.0,10,30
688017.SH,2025-07-03,119.91,121.17,118.9,120.1,120.05,0.05,0.0416,17729.38,212380.751,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,0.0,0,0.0,0.0004164931278634043,0.0,0.0,0.0,100000.0,96164.6248698855,100000.0,0.0,10,30
688017.SH,2025-07-04,121.0,121.66,117.82,119.06,120.1,-1.04,-0.8659,24074.09,287398.829,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,0.0,0,0.0,-0.00865945045795169,0.0,0.0,-0.0,100000.0,95331.89206501722,100000.0,0.0,10,30
688017.SH,2025-07-07,117.0,117.0,114.23,115.12,119.06,-3.94,-3.3093,42861.76,494410.388,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,0.0,0,0.0,-0.033092558373929104,0.0,0.0,-0.0,100000.0,92177.11586195852,100000.0,0.0,10,30
688017.SH,2025-07-08,115.32,119.29,114.66,118.79,115.12,3.67,3.188,35343.33,415912.091,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,0.0,0,0.0,0.03187977762334948,0.0,0.0,0.0,100000.0,95115.70181759949,100000.0,0.0,10,30
688017.SH,2025-07-09,122.0,123.88,117.66,118.09,118.79,-0.7,-0.5893,48848.49,590926.175,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,0.0,0,0.0,-0.005892751915144379,0.0,0.0,-0.0,100000.0,94555.20858355353,100000.0,0.0,10,30
688017.SH,2025-07-10,116.74,119.47,116.67,118.86,118.09,0.77,0.652,28769.62,339091.077,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,0.0,0,0.0,0.00652045050385297,0.0,0.0,0.0,100000.0,95171.75114100408,100000.0,0.0,10,30
688017.SH,2025-07-11,118.08,123.85,117.88,121.89,118.86,3.03,2.5492,53533.1,649293.954,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,119.999,,0.0,0,0.0,0.0254921756688542,0.0,0.0,0.0,100000.0,97597.88613980304,100000.0,0.0,10,30
688017.SH,2025-07-14,123.49,126.0,121.99,124.72,121.89,2.83,2.3218,54537.09,677249.157,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,119.982,,0.0,0,0.0,0.02321765526294195,0.0,0.0,0.0,100000.0,99863.88021458885,100000.0,0.0,10,30
688017.SH,2025-07-15,125.0,125.27,122.25,124.4,124.72,-0.32,-0.2566,40596.84,502460.992,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,120.10799999999999,,0.0,0,0.0,-0.0025657472738934706,0.0,0.0,-0.0,100000.0,99607.65473616784,100000.0,0.0,10,30
688017.SH,2025-07-16,124.5,129.2,123.74,126.39,124.4,1.99,1.5997,57714.24,730993.85,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,120.742,,0.0,0,0.0,0.015996784565916355,0.0,0.0,0.0,100000.0,101201.0569300985,100000.0,0.0,10,30
688017.SH,2025-07-17,125.0,130.88,124.61,129.01,126.39,2.62,2.0729,63789.16,819461.39,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,121.633,,0.0,0,0.0,0.020729488092412263,0.0,0.0,0.0,100000.0,103298.90303467051,100000.0,0.0,10,30
688017.SH,2025-07-18,130.3,130.97,127.6,128.89,129.01,-0.12,-0.093,39427.96,507695.449,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,122.61599999999999,,0.0,0,0.0,-0.0009301604526781304,0.0,0.0,-0.0,100000.0,103202.81848026262,100000.0,0.0,10,30
688017.SH,2025-07-21,132.1,138.0,130.78,134.67,128.89,5.78,4.4844,82439.32,1109577.228,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,124.571,,0.0,0,0.0,0.04484444099619833,0.0,0.0,0.0,100000.0,107830.89118424214,100000.0,0.0,10,30
688017.SH,2025-07-22,133.0,133.6,130.0,130.4,134.67,-4.27,-3.1707,59281.27,778161.76,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,125.732,,0.0,0,0.0,-0.03170713596198105,0.0,0.0,-0.0,100000.0,104411.88245656178,100000.0,0.0,10,30
688017.SH,2025-07-23,128.8,130.75,128.03,128.8,130.4,-1.6,-1.227,42124.08,544561.596,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,126.803,,0.0,0,0.0,-0.012269938650306678,0.0,0.0,-0.0,100000.0,103130.75506445675,100000.0,0.0,10,30
688017.SH,2025-07-24,128.88,131.67,128.88,130.29,128.8,1.49,1.1568,38988.43,509077.837,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,127.946,,0.0,0,0.0,0.011568322981366341,0.0,0.0,0.0,100000.0,104323.80494835456,100000.0,0.0,10,30
688017.SH,2025-07-25,130.8,130.87,128.3,130.45,130.29,0.16,0.1228,32765.0,424467.33,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,128.802,,0.0,0,0.0,0.0012280297797220285,0.0,0.0,0.0,100000.0,104451.91768756506,100000.0,0.0,10,30
688017.SH,2025-07-28,132.35,133.88,129.66,129.83,130.45,-0.62,-0.4753,38738.11,507822.732,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,129.313,,0.0,0,0.0,-0.004752778842468164,0.0,0.0,-0.0,100000.0,103955.48082312438,100000.0,0.0,10,30
