ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,source_file,stock_name,upper_channel,lower_channel,true_range,atr,trade_signal,signal_reason,target_position,entry_price,highest_close_since_entry,atr_stop,position,market_return,turnover,transaction_cost,strategy_return,strategy_equity,benchmark_equity,running_peak,drawdown,entry_window,exit_window,atr_period,atr_stop_multiple
688017.SH,2025-06-30,124.8,126.37,123.58,124.89,124.1,0.79,0.6366,27684.42,346153.401,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,2.7900000000000063,,0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,0.0,20,10,20,2.0
688017.SH,2025-07-01,124.28,124.97,122.22,123.14,124.89,-1.75,-1.4012,22443.51,276694.229,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,2.75,,0,,0.0,,,,0.0,-0.014012330851149057,0.0,0.0,-0.0,100000.0,98598.7669148851,100000.0,0.0,20,10,20,2.0
688017.SH,2025-07-02,122.2,123.13,119.0,120.05,123.14,-3.09,-2.5093,25425.54,305891.013,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,4.140000000000001,,0,,0.0,,,,0.0,-0.025093389637810604,0.0,0.0,-0.0,100000.0,96124.58963888221,100000.0,0.0,20,10,20,2.0
688017.SH,2025-07-03,119.91,121.17,118.9,120.1,120.05,0.05,0.0416,17729.38,212380.751,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,2.269999999999996,,0,,0.0,,,,0.0,0.0004164931278634043,0.0,0.0,0.0,100000.0,96164.6248698855,100000.0,0.0,20,10,20,2.0
688017.SH,2025-07-04,121.0,121.66,117.82,119.06,120.1,-1.04,-0.8659,24074.09,287398.829,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,3.8400000000000034,,0,,0.0,,,,0.0,-0.00865945045795169,0.0,0.0,-0.0,100000.0,95331.89206501722,100000.0,0.0,20,10,20,2.0
688017.SH,2025-07-07,117.0,117.0,114.23,115.12,119.06,-3.94,-3.3093,42861.76,494410.388,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,4.829999999999998,,0,,0.0,,,,0.0,-0.033092558373929104,0.0,0.0,-0.0,100000.0,92177.11586195852,100000.0,0.0,20,10,20,2.0
688017.SH,2025-07-08,115.32,119.29,114.66,118.79,115.12,3.67,3.188,35343.33,415912.091,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,4.63000000000001,,0,,0.0,,,,0.0,0.03187977762334948,0.0,0.0,0.0,100000.0,95115.70181759949,100000.0,0.0,20,10,20,2.0
688017.SH,2025-07-09,122.0,123.88,117.66,118.09,118.79,-0.7,-0.5893,48848.49,590926.175,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,6.219999999999999,,0,,0.0,,,,0.0,-0.005892751915144379,0.0,0.0,-0.0,100000.0,94555.20858355353,100000.0,0.0,20,10,20,2.0
688017.SH,2025-07-10,116.74,119.47,116.67,118.86,118.09,0.77,0.652,28769.62,339091.077,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,2.799999999999997,,0,,0.0,,,,0.0,0.00652045050385297,0.0,0.0,0.0,100000.0,95171.75114100408,100000.0,0.0,20,10,20,2.0
688017.SH,2025-07-11,118.08,123.85,117.88,121.89,118.86,3.03,2.5492,53533.1,649293.954,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,,,5.969999999999999,,0,,0.0,,,,0.0,0.0254921756688542,0.0,0.0,0.0,100000.0,97597.88613980304,100000.0,0.0,20,10,20,2.0
